area,file,baseline_lines,classification,planned_use
world_startup,src/modules/PlayerBots/playerbot/PlayerbotScripts.cpp,40-46,WorldScript startup hook,Start owned external adapter only when disabled-by-default flag is explicitly enabled
world_update,src/game/World.cpp,3035-3042,WorldScript update runs at end of World::Update,Proof that PlayerbotScripts OnUpdate is world-thread delivery boundary
playerbot_update,src/modules/PlayerBots/playerbot/PlayerbotScripts.cpp,48-55,Playerbot world update,Drain/revalidate completions here; worker never touches game objects
world_shutdown,src/game/World.cpp,215-227,OnShutdown runs before KickAll,Close admission then finite drain and join before player/session teardown
script_shutdown_interface,src/game/ScriptObjects.h,100-105,WorldScript lifecycle API,Add Playerbot WorldScript OnShutdown override
session_login,src/modules/PlayerBots/playerbot/PlayerbotScripts.cpp,209-219,Player login hook,Observe scalar session generation before real-player/bot branch
session_logout,src/modules/PlayerBots/playerbot/PlayerbotScripts.cpp,222-226,Before logout hook,Invalidate all routes containing participant GUID
session_release,src/modules/PlayerBots/playerbot/PlayerbotScripts.cpp,231-234,Release-to-client hook,Invalidate bot session generation
incoming_chat,src/modules/PlayerBots/playerbot/PlayerbotAI.cpp,1686-1935,Parses and filters SMSG_MESSAGECHAT,External eligibility only for valid whisper from real player to bot 18281
chat_value_queue,src/modules/PlayerBots/playerbot/PlayerbotAI.cpp,8678-8682,Mutex queue copies scalar chat values,Preserve as ingress boundary; no raw pointer crosses
ai_queue_drain,src/modules/PlayerBots/playerbot/PlayerbotAI.cpp,1222-1255,AI update drains copied replies,Request creation runs from ChatReplyDo on this thread
request_generation,src/modules/PlayerBots/playerbot/strategy/actions/SayAction.cpp,451-672,Current chat reply plus legacy LLM branch,Replace only 512-669 with bounded External Bridge admission
unsafe_detached,src/modules/PlayerBots/playerbot/PlayerbotAI.cpp,7978-8006,Detached threads capture WorldSession*/PacketHandlingHelper*,Do not use; remove definitions after sole LLM caller is removed
unsafe_declarations,src/modules/PlayerBots/playerbot/PlayerbotAI.h,553-554,Delayed-packet APIs,Remove with definitions
bot_reresolve,src/modules/PlayerBots/playerbot/PlayerbotMgr.cpp,602-606,GetPlayerBot by scalar GUID,World-thread bot identity check
target_reresolve,src/game/Objects/Player.cpp,19377-19386,Whisper re-resolves target and session,Use only after independent fresh target/session validation
session_fingerprint,src/game/WorldSession.h,355-360,Account and join timestamp scalars,Combine with service generation; GetState 335-342 is not sufficient
text_only_delivery,src/modules/PlayerBots/playerbot/PlayerbotAI.cpp,3588-3617,Whisper path,Prefer direct Player::Whisper with already revalidated target GUID
command_gateway,src/modules/PlayerBots/playerbot/PlayerbotAI.cpp,1189-1213,ParseChatCommand queue,Completion text must never enter
action_gateway,src/modules/PlayerBots/playerbot/PlayerbotAI.cpp,1469-1560,HandleCommand and DoSpecificAction,Completion text must never enter
action_registry,src/modules/PlayerBots/playerbot/strategy/ExternalEventHelper.h,14-92,Trigger/action parser,Completion text must never enter
rpg_llm,src/modules/PlayerBots/playerbot/strategy/actions/RpgSubActions.cpp,409-563,Legacy prompt and text/emote packet path,No External V1 integration
rpg_trigger,src/modules/PlayerBots/playerbot/strategy/triggers/RpgTriggers.cpp,627-639,Legacy RPG LLM enable/chance,No External V1 integration
legacy_noop,src/modules/PlayerBots/playerbot/PlayerbotLLMInterface.cpp,376-382,Release Generate returns empty,Preserve unchanged; never called by new service
cmake_glob,src/modules/PlayerBots/CMakeLists.txt,25,Includes playerbot/*.cpp and *.h,No CMake edit required for new service files
