# OPS-009-R1 sanitized semantic matrix; no configuration values or secrets.
# Counts: KEEP=89 INTENTIONAL_CHANGE=25 DEPRECATED_OR_REMOVED=10 MACHINE_SECRET=6 TOTAL=130
# This line is prose: nothing parses it, and it had already drifted from the
# rows below once. The counts that are enforced are the literals in
# ops/config/test-config-provenance.sh's assert_matrix; keep the two in step.
service	key	classification	canonical_source	evidence
aiplayerbot	AiPlayerbot.AutoLearnDroppedSpells	KEEP	aiplayerbot.overlay.conf	verified-sanitized-baseline
aiplayerbot	AiPlayerbot.AutoLearnQuestSpells	KEEP	aiplayerbot.overlay.conf	verified-sanitized-baseline
aiplayerbot	AiPlayerbot.BoostFollow	KEEP	aiplayerbot.overlay.conf	verified-sanitized-baseline
aiplayerbot	AiPlayerbot.DisableBotOptimizations	KEEP	aiplayerbot.overlay.conf	verified-sanitized-baseline
aiplayerbot	AiPlayerbot.DisableRandomLevels	KEEP	aiplayerbot.overlay.conf	verified-sanitized-baseline
aiplayerbot	AiPlayerbot.EventStoreTable	INTENTIONAL_CHANGE	aiplayerbot.overlay.conf	deployment-schema-topology
aiplayerbot	AiPlayerbot.GlobalSoundEffects	KEEP	aiplayerbot.overlay.conf	verified-sanitized-baseline
aiplayerbot	AiPlayerbot.GuildRepliesRate	KEEP	aiplayerbot.overlay.conf	verified-sanitized-baseline
aiplayerbot	AiPlayerbot.LLMApiEndpoint	KEEP	aiplayerbot.overlay.conf	verified-sanitized-baseline
aiplayerbot	AiPlayerbot.LLMApiJson	KEEP	aiplayerbot.overlay.conf	verified-sanitized-baseline
aiplayerbot	AiPlayerbot.LLMApiKey	MACHINE_SECRET	protected-machine-overlay	secret-not-versioned
aiplayerbot	AiPlayerbot.LLMBotToBotChatChance	KEEP	aiplayerbot.overlay.conf	verified-sanitized-baseline
aiplayerbot	AiPlayerbot.LLMContextLength	KEEP	aiplayerbot.overlay.conf	verified-sanitized-baseline
aiplayerbot	AiPlayerbot.LLMEnabled	KEEP	aiplayerbot.overlay.conf	verified-sanitized-baseline
aiplayerbot	AiPlayerbot.LLMGenerationTimeout	KEEP	aiplayerbot.overlay.conf	verified-sanitized-baseline
aiplayerbot	AiPlayerbot.LLMMaxSimultaniousGenerations	KEEP	aiplayerbot.overlay.conf	verified-sanitized-baseline
aiplayerbot	AiPlayerbot.LLMRpgAIChatChance	KEEP	aiplayerbot.overlay.conf	verified-sanitized-baseline
aiplayerbot	AiPlayerbot.MaxRandomBots	INTENTIONAL_CHANGE	aiplayerbot.overlay.conf	reviewed-machine-parameter
aiplayerbot	AiPlayerbot.MinRandomBots	INTENTIONAL_CHANGE	aiplayerbot.overlay.conf	reviewed-machine-parameter
aiplayerbot	AiPlayerbot.PersistentActiveRoster.Enabled	INTENTIONAL_CHANGE	complete-base-template	accepted-disabled-default
aiplayerbot	AiPlayerbot.PersistentActiveRoster.MaintenanceMode	INTENTIONAL_CHANGE	complete-base-template	accepted-disabled-default
aiplayerbot	AiPlayerbot.RandomBotFormGuild	KEEP	aiplayerbot.overlay.conf	verified-sanitized-baseline
aiplayerbot	AiPlayerbot.RandomBotGroupNearby	KEEP	aiplayerbot.overlay.conf	verified-sanitized-baseline
aiplayerbot	AiPlayerbot.RandomBotGuildCount	KEEP	aiplayerbot.overlay.conf	verified-sanitized-baseline
aiplayerbot	AiPlayerbot.RandomBotGuildNearby	KEEP	aiplayerbot.overlay.conf	verified-sanitized-baseline
aiplayerbot	AiPlayerbot.RandomBotInvitePlayer	KEEP	aiplayerbot.overlay.conf	verified-sanitized-baseline
aiplayerbot	AiPlayerbot.RandomBotMaxLevelChance	KEEP	aiplayerbot.overlay.conf	verified-sanitized-baseline
aiplayerbot	AiPlayerbot.RandomBotMinLevel	KEEP	aiplayerbot.overlay.conf	verified-sanitized-baseline
aiplayerbot	AiPlayerbot.RandomBotNonCombatStrategies	KEEP	aiplayerbot.overlay.conf	verified-sanitized-baseline
aiplayerbot	AiPlayerbot.RandomBotRaidNearby	KEEP	aiplayerbot.overlay.conf	verified-sanitized-baseline
aiplayerbot	AiPlayerbot.SyncLevelMaxAbove	KEEP	aiplayerbot.overlay.conf	verified-sanitized-baseline
aiplayerbot	AiPlayerbot.SyncLevelNoPlayer	KEEP	aiplayerbot.overlay.conf	verified-sanitized-baseline
aiplayerbot	AiPlayerbot.SyncLevelWithPlayers	KEEP	aiplayerbot.overlay.conf	verified-sanitized-baseline
aiplayerbot	AiPlayerbot.SyncQuestWithPlayer	KEEP	aiplayerbot.overlay.conf	verified-sanitized-baseline
aiplayerbot	AiPlayerbot.ThunderfuryRepliesChance	KEEP	aiplayerbot.overlay.conf	verified-sanitized-baseline
aiplayerbot	AiPlayerbot.ToxicLinksRepliesChance	KEEP	aiplayerbot.overlay.conf	verified-sanitized-baseline
aiplayerbot	AiPlayerbot.TurnInRpg	KEEP	aiplayerbot.overlay.conf	verified-sanitized-baseline
aiplayerbot	AiPlayerbot.UsePotionChance	KEEP	aiplayerbot.overlay.conf	verified-sanitized-baseline
aiplayerbot	AiPlayerbot.XPRate	KEEP	aiplayerbot.overlay.conf	verified-sanitized-baseline
bot-brain	BotBrain.Enable	INTENTIONAL_CHANGE	bot-brain.overlay.conf	reviewed-machine-parameter
bot-brain	BotBrain.Endpoint	INTENTIONAL_CHANGE	bot-brain.overlay.conf	reviewed-compose-path
mod-donation	AutoDonationPoints.Amount	INTENTIONAL_CHANGE	mod-donation.overlay.conf	issue-278-authoritative-module-profile
mod-donation	AutoDonationPoints.Enable	INTENTIONAL_CHANGE	mod-donation.overlay.conf	issue-278-authoritative-module-profile
mod-donation	AutoDonationPoints.FlushIntervalMs	KEEP	mod-donation.overlay.conf	verified-module-default
mod-donation	AutoDonationPoints.IntervalMs	KEEP	mod-donation.overlay.conf	verified-module-default
mod-leech	Leech.Amount	INTENTIONAL_CHANGE	mod-leech.overlay.conf	issue-279-authoritative-module-profile
mod-leech	Leech.DungeonOnly	INTENTIONAL_CHANGE	mod-leech.overlay.conf	issue-279-authoritative-module-profile
mod-leech	Leech.Enable	INTENTIONAL_CHANGE	mod-leech.overlay.conf	issue-279-authoritative-module-profile
mod-leech	Leech.PvEOnly	KEEP	mod-leech.overlay.conf	verified-module-default
mod-leech	Leech.RealPlayersOnly	INTENTIONAL_CHANGE	mod-leech.overlay.conf	issue-279-authoritative-module-profile
mod-leech	Leech.SoloOnly	INTENTIONAL_CHANGE	mod-leech.overlay.conf	issue-279-authoritative-module-profile
mangosd	AiPlayerbot.ConfigFile	INTENTIONAL_CHANGE	mangosd.overlay.conf	reviewed-compose-path
mangosd	AllFlightPaths	KEEP	mangosd.overlay.conf	verified-sanitized-baseline
mangosd	AutoDonationPoints.Amount	DEPRECATED_OR_REMOVED	mangosd.overlay.conf	core-97-module-owner
mangosd	AutoDonationPoints.Enable	DEPRECATED_OR_REMOVED	mangosd.overlay.conf	core-97-module-owner
mangosd	AutoDonationPoints.FlushIntervalMs	DEPRECATED_OR_REMOVED	mangosd.overlay.conf	core-97-module-owner
mangosd	AutoDonationPoints.IntervalMs	DEPRECATED_OR_REMOVED	mangosd.overlay.conf	core-97-module-owner
mangosd	AutoWorldBuff.Enable	KEEP	mangosd.overlay.conf	verified-sanitized-baseline
mangosd	AutoWorldBuff.FirstMaxInterval	KEEP	mangosd.overlay.conf	verified-sanitized-baseline
mangosd	AutoWorldBuff.FirstMinInterval	KEEP	mangosd.overlay.conf	verified-sanitized-baseline
mangosd	AutoWorldBuff.MaxInterval	KEEP	mangosd.overlay.conf	verified-sanitized-baseline
mangosd	AutoWorldBuff.MinInterval	KEEP	mangosd.overlay.conf	verified-sanitized-baseline
mangosd	AutoWorldBuff.WarningInterval	KEEP	mangosd.overlay.conf	verified-sanitized-baseline
mangosd	BattleGround.Rate.Honor.AB	KEEP	mangosd.overlay.conf	verified-sanitized-baseline
mangosd	BattleGround.Rate.Honor.AV	KEEP	mangosd.overlay.conf	verified-sanitized-baseline
mangosd	BattleGround.Rate.Honor.SV	KEEP	mangosd.overlay.conf	verified-sanitized-baseline
mangosd	BattleGround.Rate.Honor.WS	KEEP	mangosd.overlay.conf	verified-sanitized-baseline
mangosd	BattleGround.Rate.Reputation.AB	KEEP	mangosd.overlay.conf	verified-sanitized-baseline
mangosd	BattleGround.Rate.Reputation.AV	KEEP	mangosd.overlay.conf	verified-sanitized-baseline
mangosd	BattleGround.Rate.Reputation.SV	KEEP	mangosd.overlay.conf	verified-sanitized-baseline
