category	component	file	lines	current_effect	roster_risk	proposed_handling
startup	world initialization	src/game/World.cpp	2441-2459	loads PlayerBots and fires WorldScript OnStartup	starts current factory/manager lifecycle	load and validate immutable roster before roster login admission
startup	module hook	src/modules/PlayerBots/playerbot/PlayerbotScripts.cpp	32-55	CreateRandomBots then manager UpdateAI	factory can mutate RNDBOT stock before roster is protected	install fail-closed roster guard and startup status
startup	manager constructor	src/modules/PlayerBots/playerbot/RandomPlayerbotMgr.cpp	264-338	loads add rows, clears login markers, shifts timers	add rows become accidental startup identity set	replace membership source with current immutable roster version
selection	bot count	src/modules/PlayerBots/playerbot/RandomPlayerbotMgr.cpp	671-704	refreshes random target and tops up	count is mistaken for identity; top-up can replace	use roster target and never automatic top-up
selection	random account order	src/modules/PlayerBots/playerbot/RandomPlayerbotMgr.cpp	1195-1208	shuffles RNDBOT accounts every pass	nondeterministic identities	disable for persistent mode; use only explicit initialization/expansion proposal
selection	character query	src/modules/PlayerBots/playerbot/RandomPlayerbotMgr.cpp	1214-1243	reads characters without ORDER BY	nondeterministic row order	deterministic explicit GUID input and ordinal order
selection	quota and add lease	src/modules/PlayerBots/playerbot/RandomPlayerbotMgr.cpp	1249-1300	filters candidates and writes timed add	replacement after expiry	never use timed event as membership
login	synchronous loop	src/modules/PlayerBots/playerbot/RandomPlayerbotMgr.cpp	742-770	logs offline add GUIDs up to target	set can already be rotated/duplicated	login only validated desired GUIDs
login	AddRandomBot	src/modules/PlayerBots/playerbot/RandomPlayerbotMgr.cpp	2232-2282	validates account; sets add/login/update; starts login	creates another expiring membership lease	new LoginRosterBot path without add membership semantics
logout	timed rotation	src/modules/PlayerBots/playerbot/RandomPlayerbotMgr.cpp	2321-2367	expired add clears list and logs out; group gets 120 seconds	primary identity rotation and grouped-bot loss	roster member bypasses timer/population logout unconditionally
maintenance	update/teleport/strategy	src/modules/PlayerBots/playerbot/RandomPlayerbotMgr.cpp	2395-2526	maintains or relocates same GUID	Randomize/relocation can affect group context	keep identity-neutral maintenance; add strict group guards
group	randomize removal	src/modules/PlayerBots/playerbot/RandomPlayerbotMgr.cpp	3304-3355	unmastered randomized bot leaves group	violates grouped roster invariant	do not remove desired roster bot from group
events	load active set	src/modules/PlayerBots/playerbot/RandomPlayerbotMgr.cpp	3456-3473	loads every add row without DISTINCT/ORDER BY	duplicates inflate count; no deterministic order	unique versioned members with ordinal
events	expiry	src/modules/PlayerBots/playerbot/RandomPlayerbotMgr.cpp	3496-3531	validIn expiry zeros most events	add expires membership	membership stored outside expiring event system
events	writer	src/modules/PlayerBots/playerbot/RandomPlayerbotMgr.cpp	3558-3580	DELETE then optional INSERT	no unique constraint; generally non-atomic outside outer transaction	roster admin uses one explicit transaction and unique constraints
events	current time	src/modules/PlayerBots/playerbot/RandomPlayerbotMgr.cpp	2112-2128	stores current_time and shifts event time by downtime	pauses but does not eliminate membership expiry	maintenance only; never roster
